URL,Version,Status,OIDs,Name,Title,Description,Used
http://terminology.hl7.org/CodeSystem/v3-ActCode,2018-08-12,active,"2.16.840.1.113883.5.4",v3.ActCode,v3 Code System ActCode," A code specifying the particular kind of Act that the Act-instance represents within its class.  Constraints:  The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems.  The coding system will depend on the class of Act, such as LOINC for observations, etc. Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure. Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","ValueSet/v3-ActCode,ValueSet/v3-ActEncounterCode"
http://terminology.hl7.org/CodeSystem/v3-ActPriority,2018-08-12,active,"2.16.840.1.113883.5.7",v3.ActPriority,v3 Code System ActPriority," A set of codes (e.g., for routine, emergency), specifying the urgency under which the Act happened, can happen, is happening, is intended to happen, or is requested/demanded to happen.","ValueSet/v3-ActPriority"
http://terminology.hl7.org/CodeSystem/v3-ActReason,2018-08-12,active,"2.16.840.1.113883.5.8",v3.ActReason,v3 Code System ActReason," A set of codes specifying the motivation, cause, or rationale of an Act, when such rationale is not reasonably represented as an ActRelationship of type ""has reason"" linking to another Act.  Examples:  Example reasons that might qualify for being coded in this field might be: ""routine requirement"", ""infectious disease reporting requirement"", ""on patient request"", ""required by law"".","ValueSet/immunization-status-reason"
http://terminology.hl7.org/CodeSystem/v3-ActSite,2018-08-12,active,"2.16.840.1.113883.5.1052",v3.ActSite,v3 Code System ActSite," An anatomical location on an organism which can be the focus of an act.","ValueSet/immunization-site"
http://terminology.hl7.org/CodeSystem/v3-Confidentiality,2018-08-12,active,"2.16.840.1.113883.5.25",v3.Confidentiality,v3 Code System Confidentiality," A set of codes specifying the security classification of acts and roles in accordance with the definition for concept domain ""Confidentiality"".","ValueSet/v3-ConfidentialityClassification"
http://terminology.hl7.org/CodeSystem/v3-EncounterSpecialCourtesy,2018-08-12,active,"2.16.840.1.113883.5.40",v3.EncounterSpecialCourtesy,v3 Code System EncounterSpecialCourtesy,"**** MISSING DEFINITIONS ****","ValueSet/encounter-special-courtesy"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,2018-08-12,active,"2.16.840.1.113883.5.2",v3.MaritalStatus,v3 Code System MaritalStatus," * * * No description supplied * * *  Open Issue:  The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.","ValueSet/marital-status"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,2018-08-12,active,"2.16.840.1.113883.5.1008",v3.NullFlavor,v3 Code System NullFlavor," A collection of codes specifying why a valid value is not present.","ValueSet/marital-status,ValueSet/encounter-special-courtesy"
http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation,2018-08-12,active,"2.16.840.1.113883.5.83",v3.ObservationInterpretation,v3 Code System ObservationInterpretation,"One or more codes providing a rough qualitative interpretation of the observation, such as ""normal"" / ""abnormal"", ""low"" / ""high"", ""better"" / ""worse"", ""resistant"" /  ""susceptible"", ""expected"" / ""not expected"". The value set is intended to be for ANY use where coded representation of an interpretation is needed.","ValueSet/observation-interpretation"
http://terminology.hl7.org/CodeSystem/v3-ParticipationType,2018-08-12,active,"2.16.840.1.113883.5.90",v3.ParticipationType,v3 Code System ParticipationType,"**** MISSING DEFINITIONS ****","ValueSet/encounter-participant-type"
http://terminology.hl7.org/CodeSystem/v3-RouteOfAdministration,2018-08-12,active,"2.16.840.1.113883.5.112",v3.RouteOfAdministration,v3 Code System RouteOfAdministration," The path the administered medication takes to get into the body or into contact with the body.","ValueSet/immunization-route"
https://hl7.pt/fhir/noticia-nascimento/CodeSystem/documentclassificationCS,1.0.0,active,,DocumentclassificationCS,Classficação de documentos CodeSystem,"Classficação de documentos CodeSystem","ValueSet/bulletin-delivery-vs"
https://hl7.pt/fhir/noticia-nascimento/CodeSystem/tipo-episodio-cs,1.0.0,active,,TipoepisodioCS,Tipos de episódio CodeSystem,"Tipos de episódio CodeSystem","ValueSet/episode-type-vs"
