"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"PregnancyLM.prenatalMonitorizationFulfillment.firstQuarterBio","PregnancyLM.prenatalMonitorizationFulfillment.firstQuarterBio","","","",0,1,"","","","boolean {[]} {[]}
","Analítico 1º Trimestre","Analítico 1º Trimestre","","","","","","","","","",,,,,"",,,,"PregnancyLM.prenatalMonitorizationFulfillment.firstQuarterBio",0,1,"",""
"PregnancyLM.prenatalMonitorizationFulfillment.secondQuarterEco","PregnancyLM.prenatalMonitorizationFulfillment.secondQuarterEco","","","",0,1,"","","","boolean {[]} {[]}
","Ecografia 2º Trimestre","Ecografia 2º Trimestre","","","","","","","","","",,,,,"",,,,"PregnancyLM.prenatalMonitorizationFulfillment.secondQuarterEco",0,1,"",""
"PregnancyLM.prenatalMonitorizationFulfillment.secondQuarterBio","PregnancyLM.prenatalMonitorizationFulfillment.secondQuarterBio","","","",0,1,"","","","boolean {[]} {[]}
","Analítico 2º Trimestre","Analítico 2º Trimestre","","","","","","","","","",,,,,"",,,,"PregnancyLM.prenatalMonitorizationFulfillment.secondQuarterBio",0,1,"",""
"PregnancyLM.prenatalMonitorizationFulfillment.thirdQuarterEco","PregnancyLM.prenatalMonitorizationFulfillment.thirdQuarterEco","","","",0,1,"","","","boolean {[]} {[]}
","Ecografia 3º Trimestre","Ecografia 3º Trimestre","","","","","","","","","",,,,,"",,,,"PregnancyLM.prenatalMonitorizationFulfillment.thirdQuarterEco",0,1,"",""
"PregnancyLM.prenatalMonitorizationFulfillment.thirdQuarterBio","PregnancyLM.prenatalMonitorizationFulfillment.thirdQuarterBio","","","",0,1,"","","","boolean {[]} {[]}
","Analítico 3º Trimestre","Analítico 3º Trimestre","","","","","","","","","",,,,,"",,,,"PregnancyLM.prenatalMonitorizationFulfillment.thirdQuarterBio",0,1,"",""
"PregnancyLM.prenatalMonitorizationFulfillment.visits","PregnancyLM.prenatalMonitorizationFulfillment.visits","","","",0,1,"","","","integer {[]} {[]}
","Nº de consultas","Nº de consultas","","","","","","","","","",,,,,"",,,,"PregnancyLM.prenatalMonitorizationFulfillment.visits",0,1,"",""
"PregnancyLM.prenatalMonitorizationFulfillment.intercurrences","PregnancyLM.prenatalMonitorizationFulfillment.intercurrences","","","",0,1,"","","","string {[]} {[]}
","Intercorrências","Intercorrências","","","","","","","","","",,,,,"",,,,"PregnancyLM.prenatalMonitorizationFulfillment.intercurrences",0,1,"",""
"PregnancyLM.prenatalMonitorizationFulfillment.locals","PregnancyLM.prenatalMonitorizationFulfillment.locals","","","",0,*,"","","","BackboneElement {[]} {[]}
","Dados acerca dos locais de seguimento","Dados acerca dos locais de seguimento","","","","","","","","","",,,,,"",,,,"PregnancyLM.prenatalMonitorizationFulfillment.locals",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PregnancyLM.prenatalMonitorizationFulfillment.locals.id","PregnancyLM.prenatalMonitorizationFulfillment.locals.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"PregnancyLM.prenatalMonitorizationFulfillment.locals.extension","PregnancyLM.prenatalMonitorizationFulfillment.locals.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"PregnancyLM.prenatalMonitorizationFulfillment.locals.modifierExtension","PregnancyLM.prenatalMonitorizationFulfillment.locals.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"PregnancyLM.prenatalMonitorizationFulfillment.locals.type","PregnancyLM.prenatalMonitorizationFulfillment.locals.type","","","",0,1,"","","","Coding {[]} {[]}
","Local do seguimento (0- Centro de saúde; 1- Hospital; 2- Obstetra privado; 3- Vigilância partilhado; 4-Outro)","Local do seguimento (0- Centro de saúde; 1- Hospital; 2- Obstetra privado; 3- Vigilância partilhado; 4-Outro)","","","","","","","","","",,,,,"",,,,"PregnancyLM.prenatalMonitorizationFulfillment.locals.type",0,1,"",""
"PregnancyLM.prenatalMonitorizationFulfillment.locals.value","PregnancyLM.prenatalMonitorizationFulfillment.locals.value","","","",0,1,"","","","boolean {[]} {[]}
","Indicação de seguimento","Indicação de seguimento","","","","","","","","","",,,,,"",,,,"PregnancyLM.prenatalMonitorizationFulfillment.locals.value",0,1,"",""
"PregnancyLM.prenatalMonitorizationFulfillment.locals.reason","PregnancyLM.prenatalMonitorizationFulfillment.locals.reason","","","",0,1,"","","","string {[]} {[]}
","Motivo do seguimento","Motivo do seguimento","","","","","","","","","",,,,,"",,,,"PregnancyLM.prenatalMonitorizationFulfillment.locals.reason",0,1,"",""
"PregnancyLM.PregnancyType","PregnancyLM.PregnancyType","","","",1,1,"","","","Coding {[]} {[]}
","Tipo de gravidez ( 'Simple'- Gravidez de um bebé; 'Multiple'- Gravidez de gémeos)","Tipo de gravidez ( 'Simple'- Gravidez de um bebé; 'Multiple'- Gravidez de gémeos)","","","","","","","","","",,,,,"",,,,"PregnancyLM.PregnancyType",1,1,"",""
"PregnancyLM.twinNumber","PregnancyLM.twinNumber","","","",1,1,"","","","string {[]} {[]}
","Corresponde ao Número da criança / total de crianças. Exemplo: '1/2'","Corresponde ao Número da criança / total de crianças. Exemplo: '1/2'","","","","","","","","","",,,,,"",,,,"PregnancyLM.twinNumber",1,1,"",""
