URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/Professional,StructureDefinition/Child,StructureDefinition/Mother","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/encounter-diet,4.0.1,draft,"2.16.840.1.113883.4.642.3.255",Diet,Diet,"This value set defines a set of codes that can be used to indicate dietary preferences or restrictions a patient may have.","StructureDefinition/Contact","THO"
http://hl7.org/fhir/ValueSet/encounter-discharge-disposition,4.0.1,draft,"2.16.840.1.113883.4.642.3.259",DischargeDisposition,Discharge disposition,"This value set defines a set of codes that can be used to where the patient left the hospital.","StructureDefinition/Contact","THO"
http://hl7.org/fhir/ValueSet/encounter-location-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.262",EncounterLocationStatus,EncounterLocationStatus,"The status of the location.","StructureDefinition/Contact","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/encounter-participant-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.250",ParticipantType,Participant type,"This value set defines a set of codes that can be used to indicate how an individual participates in an encounter.","StructureDefinition/Contact","THO (V3),THO"
http://hl7.org/fhir/ValueSet/encounter-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.261",EncounterReasonCodes,Encounter Reason Codes,"This examples value set defines the set of codes that can be used to indicate reasons for an encounter.","StructureDefinition/Contact","SCT"
http://hl7.org/fhir/ValueSet/encounter-special-arrangements,4.0.1,draft,"2.16.840.1.113883.4.642.3.253",SpecialArrangements,Special arrangements,"This value set defines a set of codes that can be used to indicate the kinds of special arrangements in place for a patients visit.","StructureDefinition/Contact","THO"
http://hl7.org/fhir/ValueSet/encounter-special-courtesy,4.0.1,draft,"2.16.840.1.113883.4.642.3.252",SpecialCourtesy,Special courtesy,"This value set defines a set of codes that can be used to indicate special courtesies provided to the patient.","StructureDefinition/Contact","THO (V3)"
http://hl7.org/fhir/ValueSet/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.246",EncounterStatus,EncounterStatus,"Current state of the encounter.","StructureDefinition/Contact","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/encounter-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.248",EncounterType,Encounter type,"This example value set defines a set of codes that can be used to indicate the type of encounter: a specific code indicating type of service provided.","StructureDefinition/Contact","THO"
http://hl7.org/fhir/ValueSet/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.109",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","StructureDefinition/Birth,StructureDefinition/Bulletindelivery","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/immunization-function,4.0.1,draft,"2.16.840.1.113883.4.642.3.995",ImmunizationFunctionCodes,Immunization Function Codes,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the function a practitioner or organization may play in the immunization event. This value set is provided as a suggestive example.","StructureDefinition/Bcg,StructureDefinition/Antid,StructureDefinition/Hepb,StructureDefinition/Vaccination","THO (V2)"
http://hl7.org/fhir/ValueSet/immunization-funding-source,4.0.1,draft,"2.16.840.1.113883.4.642.3.293",ImmunizationFundingSource,Immunization Funding Source,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the source of the vaccine administered. This value set is provided as a suggestive example.","StructureDefinition/Bcg,StructureDefinition/Antid,StructureDefinition/Hepb,StructureDefinition/Vaccination","THO"
http://hl7.org/fhir/ValueSet/immunization-origin,4.0.1,draft,"2.16.840.1.113883.4.642.3.296",ImmunizationOriginCodes,Immunization Origin Codes,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the source of the data when the report of the immunization event is not based on information from the person, entity or organization who administered the vaccine. This value set is provided as a suggestive example.","StructureDefinition/Bcg,StructureDefinition/Antid,StructureDefinition/Hepb,StructureDefinition/Vaccination","THO"
http://hl7.org/fhir/ValueSet/immunization-program-eligibility,4.0.1,draft,"2.16.840.1.113883.4.642.3.291",ImmunizationProgramEligibility,Immunization Program Eligibility,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the patient's eligibility for a vaccination program. This value set is provided as a suggestive example.","StructureDefinition/Bcg,StructureDefinition/Antid,StructureDefinition/Hepb,StructureDefinition/Vaccination","THO"
http://hl7.org/fhir/ValueSet/immunization-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.290",ImmunizationReasonCodes,Immunization Reason Codes,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the reason why a dose of vaccine was administered. This value set is provided as a suggestive example.","StructureDefinition/Bcg,StructureDefinition/Antid,StructureDefinition/Hepb,StructureDefinition/Vaccination","SCT"
http://hl7.org/fhir/ValueSet/immunization-route,4.0.1,draft,"2.16.840.1.113883.4.642.3.289",ImmunizationRouteCodes,Immunization Route Codes,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the administrative routes used during vaccination. This value set is provided as a suggestive example.","StructureDefinition/Bcg,StructureDefinition/Antid,StructureDefinition/Hepb,StructureDefinition/Vaccination","THO (V3)"
http://hl7.org/fhir/ValueSet/immunization-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.288",CodesForImmunizationSiteOfAdministration,Codes for Immunization Site of Administration,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the body site where the vaccination occurred. This value set is provided as a suggestive example.","StructureDefinition/Bcg,StructureDefinition/Antid,StructureDefinition/Hepb,StructureDefinition/Vaccination","THO (V3)"
http://hl7.org/fhir/ValueSet/immunization-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.295",ImmunizationStatusCodes,Immunization Status Codes,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the current status of the administered dose of vaccine.","StructureDefinition/Bcg,StructureDefinition/Antid,StructureDefinition/Hepb,StructureDefinition/Vaccination","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/immunization-status-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.992",ImmunizationStatusReasonCodes,Immunization Status Reason Codes,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the reason why a dose of vaccine was not administered. This value set is provided as a suggestive example.","StructureDefinition/Bcg,StructureDefinition/Antid,StructureDefinition/Hepb,StructureDefinition/Vaccination","THO (V3),SCT"
http://hl7.org/fhir/ValueSet/immunization-subpotent-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.993",ImmunizationSubpotentReason,Immunization Subpotent Reason,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the reason why a dose is considered to be subpotent. This value set is provided as a suggestive example.","StructureDefinition/Bcg,StructureDefinition/Antid,StructureDefinition/Hepb,StructureDefinition/Vaccination","THO"
http://hl7.org/fhir/ValueSet/immunization-target-disease,4.0.1,draft,"2.16.840.1.113883.4.642.3.1047",ImmunizationTargetDiseaseCodes,Immunization Target Disease Codes,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the disease that the dose is being administered against. This value set is provided as a suggestive example and includes the SNOMED CT concepts from the 64572001 (Disease) hierarchy.","StructureDefinition/Bcg,StructureDefinition/Antid,StructureDefinition/Hepb,StructureDefinition/Vaccination","SCT"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/Bcg,StructureDefinition/Antid,StructureDefinition/Metabolic,StructureDefinition/Contact,StructureDefinition/Transport,StructureDefinition/Pupillary,StructureDefinition/Professional,StructureDefinition/Child,StructureDefinition/CompositionNoticia,StructureDefinition/Mother,StructureDefinition/Pregnancy,StructureDefinition/Puerperium,StructureDefinition/Hepb,StructureDefinition/Letter,StructureDefinition/Hearingscreen,StructureDefinition/Childhealthsurveilance,StructureDefinition/Birth,StructureDefinition/Malformation,StructureDefinition/Congenital,StructureDefinition/Newbornriskassessment,StructureDefinition/Bulletindelivery,StructureDefinition/Phototherapy,StructureDefinition/Vaccination,StructureDefinition/ApgarScore","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/Child,StructureDefinition/Mother","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/list-empty-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.322",ListEmptyReasons,List Empty Reasons,"General reasons for a list to be empty. Reasons are either related to a summary list (i.e. problem or medication list) or to a workflow related list (i.e. consultation list).","StructureDefinition/CompositionNoticia","THO"
http://hl7.org/fhir/ValueSet/list-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.318",ListMode,ListMode,"The processing mode that applies to this list.","StructureDefinition/CompositionNoticia","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/list-order,4.0.1,draft,"2.16.840.1.113883.4.642.3.324",ListOrderCodes,List Order Codes,"Base values for the order of the items in a list resource.","StructureDefinition/CompositionNoticia","THO"
http://hl7.org/fhir/ValueSet/location-physical-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.328",LocationType,Location type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.","StructureDefinition/Contact","THO"
http://hl7.org/fhir/ValueSet/marital-status,4.0.1,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/Child,StructureDefinition/Mother","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.403",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/Malformation,StructureDefinition/Congenital,StructureDefinition/Metabolic,StructureDefinition/Pupillary,StructureDefinition/Newbornriskassessment,StructureDefinition/Pregnancy,StructureDefinition/Puerperium,StructureDefinition/Phototherapy,StructureDefinition/Letter,StructureDefinition/Hearingscreen,StructureDefinition/ApgarScore","THO"
http://hl7.org/fhir/ValueSet/observation-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.396",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/Malformation,StructureDefinition/Congenital,StructureDefinition/Metabolic,StructureDefinition/Pupillary,StructureDefinition/Newbornriskassessment,StructureDefinition/Pregnancy,StructureDefinition/Puerperium,StructureDefinition/Phototherapy,StructureDefinition/Letter,StructureDefinition/Hearingscreen,StructureDefinition/ApgarScore","LOINC"
http://hl7.org/fhir/ValueSet/observation-interpretation,4.0.1,active,"2.16.840.1.113883.4.642.3.399",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/Malformation,StructureDefinition/Congenital,StructureDefinition/Metabolic,StructureDefinition/Pupillary,StructureDefinition/Newbornriskassessment,StructureDefinition/Pregnancy,StructureDefinition/Puerperium,StructureDefinition/Phototherapy,StructureDefinition/Letter,StructureDefinition/Hearingscreen,StructureDefinition/ApgarScore","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-methods,4.0.1,draft,"2.16.840.1.113883.4.642.3.395",ObservationMethods,Observation Methods,"Observation Method codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 272394005 (Technique (qualifier value)) or is-a 129264002 (Action (qualifier value)) or is-a 386053000 (Evaluation procedure(procedure))","StructureDefinition/Malformation,StructureDefinition/Congenital,StructureDefinition/Metabolic,StructureDefinition/Pupillary,StructureDefinition/Newbornriskassessment,StructureDefinition/Pregnancy,StructureDefinition/Puerperium,StructureDefinition/Phototherapy,StructureDefinition/Letter,StructureDefinition/Hearingscreen,StructureDefinition/ApgarScore","SCT"
http://hl7.org/fhir/ValueSet/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.3.400",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","StructureDefinition/Malformation,StructureDefinition/Congenital,StructureDefinition/Metabolic,StructureDefinition/Pupillary,StructureDefinition/Newbornriskassessment,StructureDefinition/Pregnancy,StructureDefinition/Puerperium,StructureDefinition/Phototherapy,StructureDefinition/Letter,StructureDefinition/Hearingscreen,StructureDefinition/ApgarScore","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/organization-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.414",OrganizationType,Organization type,"This example value set defines a set of codes that can be used to indicate a type of organization.","StructureDefinition/Childhealthsurveilance","THO"
http://hl7.org/fhir/ValueSet/patient-contactrelationship,4.0.1,active,"2.16.840.1.113883.4.642.3.1130",PatientContactRelationship,Patient Contact Relationship ,"The nature of the relationship between the patient and the contact person.","StructureDefinition/Child,StructureDefinition/Mother","THO (V2)"
http://hl7.org/fhir/ValueSet/performer-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.433",ProcedurePerformerRoleCodes,Procedure Performer Role Codes,"This example value set defines the set of codes that can be used to indicate a role of a procedure performer.","StructureDefinition/Birth,StructureDefinition/Bulletindelivery","SCT"
http://hl7.org/fhir/ValueSet/procedure-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.430",ProcedureCategoryCodes(SNOMEDCT),Procedure Category Codes (SNOMED CT),"Procedure Category code: A selection of relevant SNOMED CT codes.","StructureDefinition/Birth","SCT"
http://hl7.org/fhir/ValueSet/procedure-followup,4.0.1,draft,"2.16.840.1.113883.4.642.3.429",ProcedureFollowUpCodes(SNOMEDCT),Procedure Follow up Codes (SNOMED CT),"Procedure follow up codes: A selection of SNOMED CT codes relevant to procedure follow up.","StructureDefinition/Birth,StructureDefinition/Bulletindelivery","SCT"
http://hl7.org/fhir/ValueSet/procedure-not-performed-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.431",ProcedureNotPerformedReason(SNOMED-CT),Procedure Not Performed Reason (SNOMED-CT),"Situation codes describing the reason that a procedure, which might otherwise be expected, was not performed, or a procedure that was started and was not completed. Consists of SNOMED CT codes, children of procedure contraindicated (183932001), procedure discontinued (416406003), procedure not done (416237000), procedure not indicated (428119001), procedure not offered (416064006), procedure not wanted (416432009), procedure refused (183944003), and procedure stopped (394908001).","StructureDefinition/Birth,StructureDefinition/Bulletindelivery","SCT"
http://hl7.org/fhir/ValueSet/procedure-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.428",ProcedureOutcomeCodes(SNOMEDCT),Procedure Outcome Codes (SNOMED CT),"Procedure Outcome code: A selection of relevant SNOMED CT codes.","StructureDefinition/Birth,StructureDefinition/Bulletindelivery","SCT"
http://hl7.org/fhir/ValueSet/procedure-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.432",ProcedureReasonCodes,Procedure Reason Codes,"This example value set defines the set of codes that can be used to indicate a reason for a procedure.","StructureDefinition/Birth,StructureDefinition/Bulletindelivery","SCT"
http://hl7.org/fhir/ValueSet/referencerange-appliesto,4.0.1,draft,"2.16.840.1.113883.4.642.3.407",ObservationReferenceRangeAppliesToCodes,Observation Reference Range Applies To Codes,"This value set defines a set of codes that can be used to indicate the particular target population the reference range applies to.","StructureDefinition/Malformation,StructureDefinition/Congenital,StructureDefinition/Metabolic,StructureDefinition/Pupillary,StructureDefinition/Newbornriskassessment,StructureDefinition/Pregnancy,StructureDefinition/Puerperium,StructureDefinition/Phototherapy,StructureDefinition/Letter,StructureDefinition/Hearingscreen,StructureDefinition/ApgarScore","SCT"
http://hl7.org/fhir/ValueSet/referencerange-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.3.397",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","StructureDefinition/Malformation,StructureDefinition/Congenital,StructureDefinition/Metabolic,StructureDefinition/Pupillary,StructureDefinition/Newbornriskassessment,StructureDefinition/Pregnancy,StructureDefinition/Puerperium,StructureDefinition/Phototherapy,StructureDefinition/Letter,StructureDefinition/Hearingscreen,StructureDefinition/ApgarScore","THO"
http://hl7.org/fhir/ValueSet/service-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.518",ServiceType,Service type,"This value set defines an example set of codes of service-types.","StructureDefinition/Contact","THO"
http://hl7.org/fhir/ValueSet/vaccine-code,4.0.1,active,"2.16.840.1.113883.3.88.12.80.22",VaccineAdministeredValueSet,Vaccine Administered Value Set,"This identifies the vaccine substance administered - CVX codes.","StructureDefinition/Bcg,StructureDefinition/Antid,StructureDefinition/Hepb,StructureDefinition/Vaccination","hl7.terminology.r4,Other"
http://terminology.hl7.org/ValueSet/v2-0092,2.0.0,active,"2.16.840.1.113883.21.40",Hl7VSReAdmissionIndicator,hl7VS-re-admissionIndicator,"Value Set of codes which are used to specify that a patient is being re-admitted to a healthcare facility from which they were discharged, and indicates the circumstances around such re-admission.","StructureDefinition/Contact","THO (V2)"
http://terminology.hl7.org/ValueSet/v2-2.7-0360,0360,active,,v2.0360.2.7,v2 table 0360, Version 2.7,"FHIR Value set/code system definition for HL7 v2 table 0360 ver 2.9 ( Degree/License/Certificate)","StructureDefinition/Professional","THO (V2)"
http://terminology.hl7.org/ValueSet/v3-ActCode,3.0.0,active,,ActCode,v3 Code System ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.  Constraints:  The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems.  The coding system will depend on the class of Act, such as LOINC for observations, etc. Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure. Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","StructureDefinition/CompositionNoticia","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ActEncounterCode,3.0.0,active,"2.16.840.1.113883.1.11.13955",ActEncounterCode,ActEncounterCode,"Domain provides codes that qualify the ActEncounterClass (ENC)","StructureDefinition/Contact","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ActPriority,3.0.0,active,"2.16.840.1.113883.1.11.16866",ActPriority,ActPriority,"A code or set of codes (e.g., for routine, emergency,) specifying the urgency under which the Act happened, can happen, is happening, is intended to happen, or is requested/demanded to happen.    *Discussion:* This attribute is used in orders to indicate the ordered priority, and in event documentation it indicates the actual priority used to perform the act. In definition mood it indicates the available priorities.","StructureDefinition/Contact","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ConfidentialityClassification,2014-03-26,active,"2.16.840.1.113883.1.11.10228",v3.ConfidentialityClassification,V3 Value SetConfidentialityClassification," Set of codes used to value Act.Confidentiality and Role.Confidentiality attribute in accordance with the definition for concept domain ""Confidentiality"".","StructureDefinition/CompositionNoticia","THO (V3)"
https://hl7.pt/fhir/NoticiaNascimento/ValueSet/bulletin-delivery-vs,0.0.1,active,,BulletindeliveryVS,Envio de boletim ValueSet,"Envio de boletim ValueSet","StructureDefinition/Bulletindelivery","Internal"
https://hl7.pt/fhir/NoticiaNascimento/ValueSet/document-type-vs,0.0.1,active,,DocumenttypeVS,Tipo de documento ValueSet,"Tipo de documento ValueSet","StructureDefinition/Bulletindelivery","SCT"
https://hl7.pt/fhir/NoticiaNascimento/ValueSet/episode-type-vs,0.0.1,active,,TipoepisodioVS,Tipos de episódio ValueSet,"Tipos de episódio ValueSet","StructureDefinition/Contact","Internal"
https://hl7.pt/fhir/NoticiaNascimento/ValueSet/newborn-congenital-anomalies-vs,0.0.1,active,,NewbornCongenitalAnomaliesVS,Tipos de doença congénita ValueSet,"Tipos de doença congénita ValueSet","StructureDefinition/Congenital","SCT"
https://hl7.pt/fhir/NoticiaNascimento/ValueSet/newbornriskassessment-vs,0.0.1,active,,NewbornriskassessmentVS,Tipos de risco para avaliação de recém-nascidos ValueSet,"Tipos de risco para avaliação de recém-nascidos ValueSet","StructureDefinition/Newbornriskassessment","SCT"
https://hl7.pt/fhir/NoticiaNascimento/ValueSet/puerperium-vs,0.0.1,active,,PuerperiumVS,Tipos de outcome de puerpério ValueSet,"Tipos de outcome de puerpério ValueSet","StructureDefinition/Puerperium","SCT"
https://hl7.pt/fhir/NoticiaNascimento/ValueSet/risco-gravidez-vs,0.0.1,active,,RiscoGravidezVS,Risco de gravidez ValueSet,"Risco de gravidez ValueSet","StructureDefinition/Pregnancy","SCT"
https://hl7.pt/fhir/NoticiaNascimento/ValueSet/tipo-gravidez-vs,0.0.1,active,,TipoGravidezVS,Tipo de gravidez ValueSet,"Tipo de gravidez ValueSet","StructureDefinition/Pregnancy","SCT"
https://hl7.pt/fhir/NoticiaNascimento/ValueSet/tipo-parto-vs,0.0.1,active,,TipoPartoVS,Tipos de parto ValueSet,"Tipos de parto ValueSet","StructureDefinition/Birth","SCT"
https://hl7.pt/fhir/NoticiaNascimento/ValueSet/transport-type-vs,0.0.1,active,,TransportTypeVS,Tipos de transporte de recém-nascido ValueSet,"Tipos de transporte de recém-nascido ValueSet","StructureDefinition/transport-information","SCT"
https://hl7.pt/fhir/NoticiaNascimento/ValueSet/vacinas-infancia-vs,0.0.1,active,,VacinasinfanciaVS,Vacinas ValueSet,"Vacinas ValueSet",,"SCT"
